flow_id,packet_count,mean_packet_size,std_packet_size,flow_duration,bytes_ratio,label
157.240.1.174:443<->192.168.1.100:60302/TCP,6,199.5,244.1466,0.590829,0.047244,Instagram
192.168.1.100:50958<->99.86.0.100:443/TCP,6,115.6667,77.2392,0.836275,1.141975,TikTok
192.168.1.100:57987<->35.186.224.47:443/TCP,6,272.8333,281.0791,0.568999,1.194370,Spotify
17.253.144.10:443<->192.168.1.100:51858/TCP,6,371.3333,497.1565,0.356352,1.970667,Apple
192.168.1.100:58678<->93.184.216.34:80/TCP,2,92.0,38.0,0.002333,inf,HTTPS
185.199.108.153:80<->192.168.1.100:58132/TCP,2,92.0,38.0,-0.003139,0.000000,HTTPS
185.199.108.153:80<->192.168.1.100:60628/TCP,2,92.0,38.0,-0.000837,0.000000,HTTPS
185.199.108.153:80<->192.168.1.100:55020/TCP,2,92.0,38.0,-0.003727,0.000000,HTTPS
192.168.1.100:63684<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:63484<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:50518<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:60160<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:63221<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:64593<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:59868<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:60855<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:52479<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:51378<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:57380<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
192.168.1.100:54208<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
142.250.185.206:443<->192.168.1.100:58526/TCP,24,549.9167,359.0222,5.576198,1.130772,Google
192.0.78.24:443<->192.168.1.100:63422/TCP,24,586.0,466.2639,5.774625,1.438703,Cloudflare
104.244.42.65:443<->192.168.1.100:62605/TCP,23,631.8696,383.7161,4.89172,1.149216,Twitter/X
192.168.1.100:53994<->35.186.227.140:443/TCP,23,593.7391,448.8259,4.740449,0.644707,Telegram
192.168.1.100:57275<->35.186.224.47:443/TCP,23,611.1739,413.4451,4.673568,1.377304,Spotify
13.107.42.14:443<->192.168.1.100:61002/TCP,23,670.6957,423.7196,5.140163,1.519765,Twitter/X
142.250.185.110:443<->192.168.1.100:60467/TCP,22,616.8182,362.8324,5.054429,2.589947,YouTube
140.82.114.4:443<->192.168.1.100:58671/TCP,22,618.8636,402.719,4.664351,2.588561,GitHub
104.16.85.20:443<->192.168.1.100:49321/TCP,22,576.3636,425.4489,5.126536,2.702190,Discord
140.82.114.4:443<->192.168.1.100:53061/TCP,21,602.9048,410.3313,5.317135,1.291999,GitHub
104.16.85.20:443<->192.168.1.100:59620/TCP,21,615.8095,416.8174,4.766719,1.931762,Discord
157.240.1.35:443<->192.168.1.100:53786/TCP,20,586.25,448.5547,4.362915,2.662918,Facebook
157.240.1.35:443<->192.168.1.100:59313/TCP,20,533.6,350.5182,3.284173,1.025432,Facebook
192.168.1.100:54620<->35.186.224.25:443/TCP,20,527.75,335.1237,5.681503,0.448271,Zoom
157.240.1.35:443<->192.168.1.100:54206/TCP,19,594.2632,383.8373,3.340771,1.287480,Facebook
192.0.78.24:443<->192.168.1.100:61984/TCP,19,615.3684,436.5434,4.057649,1.521458,Cloudflare
17.253.144.10:443<->192.168.1.100:54069/TCP,19,627.1579,399.5398,4.267074,2.729577,Apple
17.253.144.10:443<->192.168.1.100:62588/TCP,19,611.4211,354.5368,3.767999,0.705123,Apple
192.168.1.100:62766<->35.186.224.25:443/TCP,18,658.2778,520.8049,4.77234,0.326727,Zoom
192.168.1.100:49743<->99.86.0.100:443/TCP,18,595.5,396.1047,4.093504,0.469564,TikTok
192.168.1.100:60940<->35.186.227.140:443/TCP,17,622.8824,427.8727,3.847124,1.218521,Telegram
104.244.42.65:443<->192.168.1.100:60932/TCP,16,592.6875,474.0283,3.813101,5.508579,Twitter/X
104.244.42.65:443<->192.168.1.100:60100/TCP,16,611.8125,334.5496,3.271557,0.894523,Twitter/X
192.168.1.100:53868<->99.86.0.100:443/TCP,16,564.9375,393.0516,2.30153,0.570361,TikTok
13.107.42.14:443<->192.168.1.100:53718/TCP,16,555.1875,435.1535,2.611673,2.364773,Twitter/X
192.168.1.100:61437<->23.52.167.61:443/TCP,15,627.0,421.0145,2.425655,0.687904,Twitter/X
104.16.85.20:443<->192.168.1.100:49309/TCP,15,533.5333,381.2574,2.635323,2.587181,Discord
192.168.1.100:60326<->23.52.167.61:443/TCP,14,570.1429,489.7081,2.805165,0.133646,Twitter/X
140.82.114.4:443<->192.168.1.100:55715/TCP,14,597.7857,457.3153,2.998379,3.720248,GitHub
192.168.1.100:60920<->35.186.224.25:443/TCP,14,507.8571,411.7983,1.876502,0.643931,Zoom
192.168.1.100:64966<->35.186.224.25:443/TCP,14,432.5714,466.4292,2.589603,0.175922,Zoom
192.168.1.100:63689<->52.94.236.248:443/TCP,13,490.1538,386.2824,1.937868,0.583499,Amazon
104.244.42.65:443<->192.168.1.100:49357/TCP,12,358.4167,330.3701,2.746951,0.597104,Twitter/X
192.168.1.100:56147<->35.186.227.140:443/TCP,12,425.0,332.659,2.363371,0.908683,Telegram
192.168.1.100:64907<->23.52.167.61:443/TCP,11,490.1818,356.741,1.91208,1.933624,Twitter/X
140.82.114.4:443<->192.168.1.100:50832/TCP,11,490.3636,423.0238,1.609198,0.312409,GitHub
140.82.114.4:443<->192.168.1.100:56257/TCP,11,481.3636,411.7544,1.505883,2.445023,GitHub
13.107.42.14:443<->192.168.1.100:60538/TCP,11,346.4545,269.0797,1.449636,0.432707,Twitter/X
142.250.185.110:443<->192.168.1.100:57055/TCP,10,531.1,526.6698,1.17479,1.189200,YouTube
192.168.1.100:51095<->35.186.227.140:443/TCP,10,579.6,427.3566,1.878559,0.569031,Telegram
13.107.42.14:443<->192.168.1.100:64497/TCP,10,366.7,341.9594,1.379541,0.333940,Twitter/X
192.168.1.100:63300<->35.186.224.25:443/TCP,9,388.4444,371.8728,1.437777,0.748874,Zoom
13.107.42.14:443<->192.168.1.100:56734/TCP,9,378.8889,339.7556,1.244359,0.066625,Twitter/X
17.253.144.10:443<->192.168.1.100:57141/TCP,9,569.5556,482.7242,1.266907,1.358951,Apple
104.16.85.20:443<->192.168.1.100:63559/TCP,8,397.375,394.1541,1.078246,0.432627,Discord
104.244.42.65:443<->192.168.1.100:50871/TCP,7,354.7143,467.0827,0.444505,1.422439,Twitter/X
192.168.1.100:60331<->23.52.167.61:443/TCP,7,301.2857,324.3639,0.275818,1.000949,Twitter/X
142.250.185.110:443<->192.168.1.100:61400/TCP,6,368.0,419.0565,0.208272,0.025070,YouTube
157.240.1.174:443<->192.168.1.100:65532/TCP,6,219.3333,264.7928,0.78061,0.042789,Instagram
192.168.1.100:53420<->52.94.236.248:443/TCP,6,355.6667,498.9087,0.313599,0.430295,Amazon
192.168.1.100:50019<->93.184.216.34:80/TCP,2,92.0,38.0,-0.002337,inf,HTTPS
185.199.108.153:80<->192.168.1.100:61372/TCP,2,92.0,38.0,0.001056,0.000000,HTTPS
192.168.1.100:56779<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:54743<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:57379<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:61416<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:58198<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:58387<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:65455<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:53727<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:56147<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:63198<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
192.168.1.100:61148<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
192.168.1.100:56733<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
192.168.1.100:63656<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
142.250.185.110:443<->192.168.1.100:58587/TCP,24,555.9583,411.1565,5.634605,1.569915,YouTube
142.250.185.110:443<->192.168.1.100:55395/TCP,24,533.9583,412.1631,4.766616,1.027048,YouTube
192.168.1.100:60676<->35.186.224.47:443/TCP,24,553.2083,416.0717,5.128341,1.280488,Spotify
192.168.1.100:55095<->35.186.224.47:443/TCP,23,567.5217,423.2778,5.114613,0.881107,Spotify
142.250.185.206:443<->192.168.1.100:59610/TCP,22,495.8636,369.5434,4.641188,0.673673,Google
104.16.85.20:443<->192.168.1.100:61084/TCP,22,640.1364,443.4071,6.315424,1.912117,Discord
142.250.185.110:443<->192.168.1.100:64400/TCP,21,656.7143,417.28,3.968165,1.480842,YouTube
140.82.114.4:443<->192.168.1.100:63795/TCP,21,586.381,354.6915,5.081364,1.262355,GitHub
192.168.1.100:53873<->99.86.0.100:443/TCP,21,635.2381,412.7023,5.046396,0.989857,TikTok
192.168.1.100:56829<->35.186.224.47:443/TCP,21,619.4762,466.7427,3.889777,0.459881,Spotify
142.250.185.206:443<->192.168.1.100:58508/TCP,20,510.5,338.0737,5.210254,0.398630,Google
192.168.1.100:59279<->52.94.236.248:443/TCP,20,560.15,409.2148,2.452679,0.917337,Amazon
13.107.42.14:443<->192.168.1.100:64270/TCP,20,619.8,457.6058,3.502465,3.718691,Twitter/X
17.253.144.10:443<->192.168.1.100:62539/TCP,20,554.45,377.103,4.128617,0.729683,Apple
142.250.185.206:443<->192.168.1.100:52974/TCP,19,501.8421,324.7479,2.728571,0.143148,Google
157.240.1.35:443<->192.168.1.100:58509/TCP,18,479.3333,296.8076,3.466342,0.404525,Facebook
157.240.1.174:443<->192.168.1.100:62550/TCP,18,551.2222,389.1399,3.854117,0.496305,Instagram
192.168.1.100:56072<->52.94.236.248:443/TCP,18,507.3333,364.4088,3.266294,0.859878,Amazon
192.168.1.100:54919<->35.186.227.140:443/TCP,18,478.7778,329.4056,4.344749,3.049812,Telegram
157.240.1.35:443<->192.168.1.100:63395/TCP,17,522.8235,362.8184,4.782373,1.787955,Facebook
192.168.1.100:58700<->23.52.167.61:443/TCP,16,539.5,337.9362,3.070427,0.916093,Twitter/X
192.168.1.100:52924<->35.186.227.140:443/TCP,16,610.875,491.9476,3.995698,0.568357,Telegram
13.107.42.14:443<->192.168.1.100:54968/TCP,16,555.0625,426.184,2.787911,1.194465,Twitter/X
142.250.185.206:443<->192.168.1.100:50476/TCP,15,630.6,502.3248,1.72318,4.163210,Google
192.168.1.100:58574<->99.86.0.100:443/TCP,15,424.1333,307.754,2.895082,0.839792,TikTok
192.168.1.100:59987<->35.186.224.47:443/TCP,15,607.7333,489.4098,3.327624,0.412020,Spotify
192.168.1.100:63118<->35.186.224.47:443/TCP,15,555.7333,491.1662,3.945693,0.330779,Spotify
13.107.42.14:443<->192.168.1.100:63836/TCP,14,528.1429,389.7675,3.480525,1.497129,Twitter/X
157.240.1.35:443<->192.168.1.100:54012/TCP,12,429.1667,327.8892,1.568734,1.091795,Facebook
17.253.144.10:443<->192.168.1.100:54035/TCP,12,557.25,454.2918,1.60197,3.308634,Apple
192.168.1.100:50256<->99.86.0.100:443/TCP,11,541.6364,433.3714,2.359082,0.217409,TikTok
104.244.42.65:443<->192.168.1.100:53988/TCP,10,443.5,466.7051,2.236111,1.828444,Twitter/X
140.82.114.4:443<->192.168.1.100:60318/TCP,10,449.7,398.7556,1.878199,0.444123,GitHub
192.168.1.100:55314<->35.186.227.140:443/TCP,10,542.3,491.8921,1.689616,0.533220,Telegram
192.168.1.100:64867<->99.86.0.100:443/TCP,10,321.0,300.9425,1.484675,58.444444,TikTok
192.0.78.24:443<->192.168.1.100:64024/TCP,10,412.0,305.0082,1.097069,2.157088,Cloudflare
142.250.185.110:443<->192.168.1.100:53111/TCP,9,226.3333,148.0398,1.064117,0.683471,YouTube
157.240.1.35:443<->192.168.1.100:52831/TCP,9,385.8889,333.5574,1.662156,1.296958,Facebook
104.16.85.20:443<->192.168.1.100:53983/TCP,9,444.0,408.8328,0.954563,1.746392,Discord
192.168.1.100:56320<->35.186.227.140:443/TCP,9,323.1111,233.1549,1.13692,3.846667,Telegram
192.168.1.100:61824<->35.186.227.140:443/TCP,9,352.3333,404.1598,1.306483,0.941825,Telegram
157.240.1.174:443<->192.168.1.100:59942/TCP,8,199.0,137.5564,0.913639,0.532243,Instagram
192.168.1.100:56062<->23.52.167.61:443/TCP,8,501.125,486.0356,1.487948,0.696572,Twitter/X
192.0.78.24:443<->192.168.1.100:50239/TCP,8,292.125,311.7364,1.287115,0.724723,Cloudflare
13.107.42.14:443<->192.168.1.100:53216/TCP,8,374.5,398.361,0.833571,2.459584,Twitter/X
104.244.42.65:443<->192.168.1.100:64143/TCP,7,299.5714,311.7384,0.97494,1.198113,Twitter/X
104.16.85.20:443<->192.168.1.100:49597/TCP,7,335.7143,429.3822,0.841305,1.261790,Discord
192.168.1.100:57918<->35.186.224.25:443/TCP,6,214.5,259.8645,0.593556,22.833333,Zoom
13.107.42.14:443<->192.168.1.100:64364/TCP,6,379.3333,446.3316,0.658913,1.207565,Twitter/X
192.168.1.100:58730<->93.184.216.34:80/TCP,2,92.0,38.0,-0.001694,inf,HTTPS
185.199.108.153:80<->192.168.1.100:60979/TCP,2,92.0,38.0,-5.2e-05,0.000000,HTTPS
185.199.108.153:80<->192.168.1.100:60879/TCP,2,92.0,38.0,-0.000582,0.000000,HTTPS
185.199.108.153:80<->192.168.1.100:60494/TCP,2,92.0,38.0,-0.001558,0.000000,HTTPS
192.168.1.100:49664<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:54178<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:50207<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:50996<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:62654<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:52662<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:62466<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:63427<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:62507<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:54668<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:61768<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
192.168.1.100:51471<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
192.168.1.100:51022<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
192.168.1.100:50142<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
192.168.1.100:63595<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
192.168.1.100:54199<->35.186.227.140:443/TCP,24,499.375,281.4631,5.65117,1.858335,Telegram
192.168.1.100:62003<->99.86.0.100:443/TCP,24,616.2083,393.3049,5.094149,0.962968,TikTok
13.107.42.14:443<->192.168.1.100:54856/TCP,24,673.4583,445.6818,5.315554,2.061754,Twitter/X
192.168.1.100:52495<->52.94.236.248:443/TCP,23,569.087,415.7937,5.012166,0.683256,Amazon
104.16.85.20:443<->192.168.1.100:51472/TCP,22,526.1818,405.7273,4.264958,1.776685,Discord
192.168.1.100:59286<->99.86.0.100:443/TCP,22,552.4545,408.5961,4.713356,0.820006,TikTok
192.0.78.24:443<->192.168.1.100:56755/TCP,22,531.6818,326.4075,4.436794,0.538876,Cloudflare
13.107.42.14:443<->192.168.1.100:56658/TCP,22,566.3182,378.7948,4.833771,0.770750,Twitter/X
157.240.1.174:443<->192.168.1.100:59906/TCP,21,521.4762,326.4406,4.941016,0.365291,Instagram
157.240.1.174:443<->192.168.1.100:65332/TCP,21,531.8095,343.5301,3.387909,0.629889,Instagram
192.0.78.24:443<->192.168.1.100:61592/TCP,20,564.65,388.9712,3.74501,2.055465,Cloudflare
192.168.1.100:53434<->35.186.224.25:443/TCP,19,601.5263,387.2578,4.236908,0.677775,Zoom
192.168.1.100:64149<->35.186.224.25:443/TCP,19,621.6316,452.2319,3.290091,0.167441,Zoom
157.240.1.35:443<->192.168.1.100:55815/TCP,18,542.5556,336.5512,3.577217,0.429450,Facebook
104.244.42.65:443<->192.168.1.100:52431/TCP,18,518.2222,344.8617,3.726859,1.872806,Twitter/X
104.16.85.20:443<->192.168.1.100:62226/TCP,18,490.2222,411.0502,3.95807,3.864388,Discord
104.16.85.20:443<->192.168.1.100:59355/TCP,18,454.0,302.9125,4.130995,1.028295,Discord
17.253.144.10:443<->192.168.1.100:49334/TCP,17,502.8235,416.9846,3.655596,0.728265,Apple
192.168.1.100:62480<->35.186.224.47:443/TCP,16,553.5625,388.3156,3.657477,0.943603,Spotify
192.168.1.100:57489<->23.52.167.61:443/TCP,15,563.2,438.5782,2.918401,0.527115,Twitter/X
192.168.1.100:60996<->23.52.167.61:443/TCP,15,486.2,380.033,3.416991,1.507047,Twitter/X
142.250.185.206:443<->192.168.1.100:54146/TCP,14,524.2857,435.0503,2.787989,1.017592,Google
192.168.1.100:49260<->23.52.167.61:443/TCP,14,510.8571,378.5519,2.136691,1.209453,Twitter/X
140.82.114.4:443<->192.168.1.100:55564/TCP,14,485.2857,405.6717,3.187653,2.183693,GitHub
17.253.144.10:443<->192.168.1.100:63519/TCP,14,549.5,437.0009,1.607316,2.530519,Apple
104.244.42.65:443<->192.168.1.100:54031/TCP,13,615.0,495.5162,3.310461,2.854870,Twitter/X
192.168.1.100:59576<->35.186.224.25:443/TCP,13,587.8462,410.7305,2.5334,1.824095,Zoom
192.168.1.100:56940<->35.186.224.47:443/TCP,13,588.7692,453.1242,2.119636,0.370702,Spotify
13.107.42.14:443<->192.168.1.100:50811/TCP,13,471.8462,385.8774,2.360711,1.235423,Twitter/X
142.250.185.110:443<->192.168.1.100:65212/TCP,12,590.8333,456.7043,1.759128,3.428482,YouTube
157.240.1.35:443<->192.168.1.100:50152/TCP,12,549.0,405.9452,1.777606,0.524294,Facebook
192.168.1.100:63147<->52.94.236.248:443/TCP,12,477.5833,412.6711,1.873976,0.793179,Amazon
192.168.1.100:55532<->99.86.0.100:443/TCP,12,509.8333,477.1415,1.608328,0.416860,TikTok
192.0.78.24:443<->192.168.1.100:61500/TCP,12,498.9167,395.7995,1.912025,6.144391,Cloudflare
192.168.1.100:64922<->99.86.0.100:443/TCP,11,532.7273,529.9645,2.702165,0.136981,TikTok
157.240.1.35:443<->192.168.1.100:59819/TCP,10,391.7,372.4253,1.897426,2.208026,Facebook
104.244.42.65:443<->192.168.1.100:61842/TCP,10,470.4,427.667,1.395289,1.921739,Twitter/X
104.244.42.65:443<->192.168.1.100:58238/TCP,10,374.2,320.0227,1.594012,0.435917,Twitter/X
192.168.1.100:60059<->52.94.236.248:443/TCP,10,584.9,446.3316,1.360291,0.370431,Amazon
192.168.1.100:58965<->35.186.224.25:443/TCP,10,326.4,324.9551,1.565942,0.498623,Zoom
17.253.144.10:443<->192.168.1.100:55885/TCP,10,537.5,455.3893,1.386249,3.698427,Apple
157.240.1.174:443<->192.168.1.100:51870/TCP,9,404.3333,409.5941,1.12165,0.560463,Instagram
192.168.1.100:52474<->35.186.224.25:443/TCP,9,412.4444,388.4396,1.500969,0.600690,Zoom
192.0.78.24:443<->192.168.1.100:50368/TCP,9,458.2222,354.5905,1.229406,1.487334,Cloudflare
13.107.42.14:443<->192.168.1.100:50843/TCP,9,446.6667,356.4055,1.138349,1.605314,Twitter/X
104.244.42.65:443<->192.168.1.100:56887/TCP,8,386.375,406.6319,1.159984,1.301564,Twitter/X
140.82.114.4:443<->192.168.1.100:57686/TCP,8,386.25,390.9401,1.148182,1.263736,GitHub
142.250.185.206:443<->192.168.1.100:62838/TCP,7,243.1429,286.7256,0.654681,2.404000,Google
142.250.185.206:443<->192.168.1.100:57261/TCP,7,329.1429,373.1658,0.525852,4.019608,Google
142.250.185.110:443<->192.168.1.100:53978/TCP,7,280.7143,275.6274,0.810136,1.364621,YouTube
142.250.185.110:443<->192.168.1.100:58136/TCP,7,387.7143,451.0865,0.507988,3.803540,YouTube
157.240.1.35:443<->192.168.1.100:59385/TCP,7,304.4286,365.9344,0.662128,0.025999,Facebook
157.240.1.174:443<->192.168.1.100:51620/TCP,6,363.0,466.7419,0.470457,1.750000,Instagram
192.168.1.100:55642<->52.94.236.248:443/TCP,6,350.0,391.5763,0.465203,0.132686,Amazon
17.253.144.10:443<->192.168.1.100:57812/TCP,6,339.5,378.3908,0.534495,0.706030,Apple
192.168.1.100:63391<->93.184.216.34:80/TCP,2,92.0,38.0,-0.00227,inf,HTTPS
185.199.108.153:80<->192.168.1.100:60893/TCP,2,92.0,38.0,0.002266,0.000000,HTTPS
185.199.108.153:80<->192.168.1.100:60187/TCP,2,92.0,38.0,0.003218,0.000000,HTTPS
192.168.1.100:50366<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:53763<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:58678<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:61717<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:59769<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:61906<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:63736<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:50377<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:49363<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:61938<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
192.168.1.100:63411<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
